N	x	y	cost1	cost2
0	3.22252	9.68854	2.94477	-0.186302
1	0.921601	9.71763	1.32389	1.32434
2	0.122993	9.70485	0.126082	6.61855
3	0.697703	9.72192	1.03571	1.79939
4	0.856854	9.71086	1.24463	1.44688
5	0.0995345	9.72222	0.0934116	7.4662
6	0.238493	9.7347	0.309975	4.31602
7	0.328023	9.71662	0.460974	3.45047
8	0.801453	9.69169	1.17361	1.57004
9	1.05246	9.69098	1.47275	1.12993
10	1.28208	9.70399	1.70877	0.838645
11	3.53655	9.71039	3.07845	-0.273012
12	0.0992894	9.70464	0.0930021	7.50008
13	0.269277	9.70509	0.361381	3.99192
14	0.4071	9.718	0.593178	2.91901
15	0.668718	9.71029	0.994749	1.8844
16	0.888214	9.70408	1.28306	1.391
17	1.16363	9.71497	1.59177	0.970526
18	3.51072	9.72007	3.06844	-0.269325
19	0.110583	9.70194	0.108443	7.05042
20	0.272503	9.72606	0.367163	3.94036
21	0.344954	9.71442	0.48948	3.32395
22	0.792598	9.69937	1.1624	1.58511
23	1.2973	9.70543	1.72335	0.821807
24	3.56848	9.68223	3.08993	-0.273245
25	0.113059	9.72347	0.112025	6.93262
26	0.309562	9.72781	0.429957	3.59255
27	0.401538	9.724	0.584133	2.94693
28	0.44179	9.75275	0.650781	2.70719
29	0.763644	9.71827	1.12503	1.63973
30	1.58335	9.70766	1.97513	0.560214
31	0.138949	9.72456	0.149727	6.12743
32	0.273471	9.71692	0.368656	3.93833
33	0.405165	9.71339	0.58988	2.93351
34	0.471751	9.71638	0.698135	2.58665
35	0.608226	9.70544	0.907357	2.06824
36	1.15561	9.70331	1.58304	0.985719
37	0.127324	9.70763	0.132391	6.4799
38	0.307352	9.70569	0.42582	3.6296
39	0.379098	9.73623	0.54715	3.0748
