step	x_best	y_best	cost_avg	cost_best
0	2.87868	2.83297	258.368	69.8977
1	2.96137	3.01635	192.733	12.7642
2	2.96137	3.01635	124.822	12.7642
3	2.96137	3.01635	95.901	12.7642
4	3.59305	3.0607	84.971	5.20418
5	3.59305	3.0607	60.8327	5.20418
6	3.59305	3.0607	46.496	5.20418
7	3.13002	3.34458	37.9122	2.11374
8	3.13002	3.34458	26.2107	2.11374
9	3.13002	3.34458	23.3821	2.11374
10	3.13002	3.34458	18.1028	2.11374
11	3.13002	3.34458	13.405	2.11374
12	3.13002	3.34458	14.2084	2.11374
13	3.13002	3.34458	15.0281	2.11374
14	3.13002	3.34458	19.7444	2.11374
15	3.13002	3.34458	16.3553	2.11374
16	3.13002	3.34458	18.9416	2.11374
17	3.13002	3.34458	15.7418	2.11374
